"Name","id","Phone","Website/Social Media","Neighborhood","Category","Latitude","Longitude","Address","Status","Sub-Category","Hours","Created time","Last Updated","Notes"
"Alcala",1828,"(212) 370-1866","alcalanyc.com","40th-49th Streets","Restaurant",40.75114,-73.971815,"246 East 44th Street","Open","Spanish","
","2020-06-24T14:21:37.000Z","2020-04-04T01:15:00.000Z",
"Asiam Thai Cuisine",1829,"212-228-7880, 212-228-7833","http://www.asiamny.com/","14th-19th Streets","Restaurant",40.732249,-73.982291,"259 1st Avenue","Open","Thai","
","2020-06-24T14:21:37.000Z","2020-04-06T13:37:00.000Z",
"Bagel Boss",1830,"(212) 388-9292","https://www.bagelboss.com/","14th-19th Streets","Restaurant",40.732361,-73.982175,"263 1st Avenue","Open","Sandwich","
","2020-06-24T14:21:37.000Z","2020-04-06T13:39:00.000Z",
"Bagel Boss",1831,"(646) 368-1880 or (646) 368-1640","https://www.bagelboss.com/","30th-39th Streets","Restaurant",40.747271,-73.977363,"544 3rd Avenue","Open","Sandwich","
","2020-06-24T14:21:37.000Z","2020-04-06T13:42:00.000Z",
"Cooper Town Diner",1832,"(732) 641-8306","https://menupages.com/coopertown-diner/339-1st-ave-new-york","14th-19th Streets","Restaurant",40.734926,-73.980339,"339 1st Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T13:44:00.000Z",
"Tal Bagels",1833,"(212) 387-3100","https://www.talbagelsny.com/","20th-29th Streets","Restaurant",40.735615,-73.979852,"357 1st Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T13:44:00.000Z",
"Ess-a-Bagel",1834,"(212) 387-3100","https://essabagel.com/","14th-19th Streets","Restaurant",40.734089,-73.980127,"324 1st Avenue","Open","Sandwich","
","2020-06-24T14:21:37.000Z","2020-04-06T13:54:00.000Z",
"Orion Diner and Grill",1835,"(212) 510-8733","https://www.oriondiner.com/","20th-29th Streets","Restaurant",40.737836,-73.981304,"395 2nd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T13:58:00.000Z",
"Posto",1836,"(212) 716-1200","https://www.nycthincrust.com/location/posto-thin-crust/","14th-19th Streets","Restaurant",40.73483,-73.982804,"310 2nd Avenue","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-04-06T14:02:00.000Z",
"Gramercy Kitchen",1837,"(917) 265-8884","https://www.gramercykitchen.nyc/","14th-19th Streets","Restaurant",40.735216,-73.98612,"184 3rd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T14:09:00.000Z",
"Lamarca",1838,"(212) 674-6363","https://menupages.com/lamarca/161-e-22nd-st-new-york","20th-29th Streets","Restaurant",40.738381,-73.983833,"161 East 22nd Street","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-04-06T14:11:00.000Z",
"Barfly",1839,"(212)-473-9660","https://barflyny.com/","20th-29th Streets","Restaurant",40.737197,-73.984694,"244 3rd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T14:12:00.000Z",
"Lunetta Pizza",1840,"(212) 432-5200","http://lunettanyc.com/","20th-29th Streets","Restaurant",40.736944,-73.984164,"245 3rd Avenue","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-04-06T14:14:00.000Z",
"Taqueria Gramercy",1841,"(862) 304-4547","https://www.seamless.com/menu/taqueria-gramercy-218-3rd-ave-new-york/965443?utm_source=google&utm_medium=cpc&utm_campaign=New%2BYork%2C%2BNY%2B%7C%2BNew%2BYork%2C%2BNY%2B%7C%2BRestaurants&utm_term=%2Btaqueria%20%2Bgramercy&efkwid=533492468061&gclid=EAIaIQobChMIw_qC5_zT6AIVBqSzCh2yUA60EAAYASAAEgIVCPD_BwE&gclsrc=aw.ds","14th-19th Streets","Restaurant",40.736292,-73.985316,"218 3rd Avenue","Open","Mexican","
","2020-06-24T14:21:37.000Z","2020-04-06T14:17:00.000Z",
"Gramercy Bagels",1842,"(212) 388-0080","https://gramercybagel.com/","20th-29th Streets","Restaurant",40.737197,-73.984694,"246 3rd Avenue","Open","Sandwich","
","2020-06-24T14:21:37.000Z","2020-04-06T14:17:00.000Z",
"Jack's Sliders and Sushi",1843,"(212) 466-2828","https://www.jacksny.com/","14th-19th Streets","Restaurant",40.734717,-73.985843,"171 3rd Avenue","Open","Sushi","12 PM-7:30 PM Daily
","2020-06-24T14:21:37.000Z","2020-04-06T14:26:00.000Z",
"Sunburst Espresso Bar",1844,"(212) 674-1702","https://www.sunburstespressobar.com/","14th-19th Streets","Restaurant",40.736087,-73.985554,"206 3rd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T14:28:00.000Z",
"Tivoli Cafe",1845,"(212) 933-0629","https://www.tivolicafenyc.com/","20th-29th Streets","Restaurant",40.738168,-73.983345,"283 3rd Avenue","Open","American","7 AM-11:30 PM Daily
","2020-06-24T14:21:37.000Z","2020-04-06T14:30:00.000Z",
"BKK Eatery",1846,"(212) 213-3317","https://www.bkkeaterynyc.com/","30th-39th Streets","Restaurant",40.746004,-73.979503,"138 East 34th Street","Open","Thai","
","2020-06-24T14:21:37.000Z","2020-04-06T14:48:00.000Z",
"Bravest",1847,"(212) 683-3766","http://www.thebravestnyc.com/","30th-39th Streets","Restaurant",40.747075,-73.973848,"700 2nd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T14:50:00.000Z",
"Duke's",1848,"(212) 949-5400","https://www.dukesnyc.com/location/murray-hill/","30th-39th Streets","Restaurant",40.748073,-73.976835,"560 3rd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T14:54:00.000Z",
"Daniel's Bagel",1849,"(212) 972-9733","https://danielsbagelsnyc.com/41052","30th-39th Streets","Restaurant",40.74784,-73.976229,"569 3rd Avenue","Open","Sandwich","
","2020-06-24T14:21:37.000Z","2020-04-06T14:56:00.000Z",
"Hill and Bay",1850,"(212) 245-5554","https://www.hillandbay.com/","30th-39th Streets","Restaurant",40.74351,-73.977173,"581 2nd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T15:00:00.000Z",
"Jackson Hole",1851,"(212) 679-3264","https://jacksonholeburgers.com/","30th-39th Streets","Restaurant",40.746144,-73.977485,"521 3rd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T15:02:00.000Z",
"Little Alley",1852,"(646) 998-3976","https://www.littlealley.nyc/","30th-39th Streets","Restaurant",40.747425,-73.977251,"550 3rd Avenue","Open","Shanghainese","
","2020-06-24T14:21:37.000Z","2020-04-06T15:05:00.000Z",
"Sarge's Deli and Diner",1853,"(212) 679-0442","https://sargesdeli.com/","30th-39th Streets","Restaurant",40.74737,-73.977291,"548 3rd Avenue","Open","American","12 PM-8 PM Daily
","2020-06-24T14:21:37.000Z","2020-04-06T15:07:00.000Z",
"Sophie's Cuban Cuisine",1854,"(212) 922-3576","https://www.sophiescuban.com/","40th-49th Streets","Restaurant",40.750447,-73.976425,"369 Lexington Avenue","Open","Cuban","
","2020-06-24T14:21:37.000Z","2020-04-06T15:12:00.000Z",
"Sophra Grill",1855,"(646) 609-2392","https://www.sophragrill.com/","30th-39th Streets","Restaurant",40.746584,-73.977051,"535 3rd Avenue","Open","Mediterranean","
","2020-06-24T14:21:37.000Z","2020-04-06T15:14:00.000Z",
"Tara Rose",1856,"(347) 265-6855","https://tararosenyc.com/","20th-29th Streets","Restaurant",40.741831,-73.981402,"384 3rd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-06T15:17:00.000Z",
"Tenho Ramen",1857,"(646) 781-9025","https://tenhoramen.com/","30th-39th Streets","Restaurant",40.747224,-73.977398,"542 3rd Avenue","Open","Japanese","
","2020-06-24T14:21:37.000Z","2020-04-06T15:20:00.000Z",
"Wattle Cafe",1858,"(646) 918-7042","https://www.wattlecafe.com/?gclid=EAIaIQobChMI1qbrso3U6AIViZ6zCh1IaQeLEAAYASAAEgLh9vD_BwE","30th-39th Streets","Restaurant",40.745077,-73.978297,"489 3rd Avenue","Open","Australian","
","2020-06-24T14:21:37.000Z","2020-04-06T15:22:00.000Z",
"Tudor City Steakhouse",1859," The Arsenal, Central Park, 830 Fifth Avenue, New York, NY 10065","http://tudorcitysteakhouse.com/","40th-49th Streets","Restaurant",40.749314,-73.969982,"45 Tudor City Place","Open","Steakhouse","5-9 PM Daily
","2020-06-24T14:21:37.000Z","2020-04-07T18:27:00.000Z",
"Baby Bo's Cantina",1860,"(212) 779-2656","http://babyboscantina.com/","30th-39th Streets","Restaurant",40.745134,-73.975985,"627 Second Avenue","Open","Mexican","
","2020-06-24T14:21:37.000Z","2020-04-08T16:57:00.000Z",
"Gemini Diner",1861,"(212) 532-2143","https://geminidiner.com/","30th-39th Streets","Restaurant",40.745443,-73.975759,"641 2nd Avenue","Open","American","7 AM-11:30 PM
","2020-06-24T14:21:37.000Z","2020-04-08T17:31:00.000Z",
"Pastafina's",1862,"(212) 251-0708","https://orderpastafinapizzany.com/","20th-29th Streets","Restaurant",40.741905,-73.981209,"388 3rd Avenue","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-04-08T21:58:00.000Z",
"First Avenue Veterinary Hospital",1863,"(212) 674-0111","https://www.firstavenuevet.com/","14th-19th Streets","Pets",40.735434,-73.980011,"355 1st Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T14:35:00.000Z",
"KMP Market",1864,"(212) 673-2430",,"14th-19th Streets","Restaurant",40.732592,-73.98204,"275 1st Avenue","Open","Deli","
","2020-06-24T14:21:37.000Z","2020-04-10T14:40:00.000Z",
"A's Organic Cleaners",1865,"(212) 475-0852",,"14th-19th Streets","Dry Cleaning",40.73243,-73.982125,"265 1st Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T15:33:00.000Z",
"Berkely Sutton Cleaners",1866,"(212) 505-5557","https://www.berkelysutton.com/?gclid=EAIaIQobChMIr53g3Jre6AIVARgMCh1g4wohEAAYASAAEgJhV_D_BwE","14th-19th Streets","Dry Cleaning",40.734511,-73.979623,"334 1st Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T15:49:00.000Z",
"Esquire Pharmacy",1867,"(212) 228-2260",,"14th-19th Streets","Pharmacy",40.732633,-73.981985,"277 1st Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T15:51:00.000Z",
"Gracefully",1868,"(212) 260-1010",,"14th-19th Streets","Restaurant",40.734089,-73.980127,"320 1st Avenue","Open","Grocery","
","2020-06-24T14:21:37.000Z","2020-04-10T15:53:00.000Z",
"Laundry Land",1869,,,"14th-19th Streets","Laundry",40.734366,-73.980663,"325 1st Avenue","Open",,,"2020-06-24T14:21:37.000Z","2020-04-10T15:54:00.000Z",
"Rite-Way Drugs",1870,"(212) 777-6864","http://www.ritewaydrugs.com/","20th-29th Streets","Pharmacy",40.736044,-73.979466,"369 1st Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T15:55:00.000Z",
"C&S Mart",1871,"(212) 375-0214",,"20th-29th Streets","Restaurant",40.736195,-73.979457,"373 1st Avenue","Open","Bodega/Convenience Store","
","2020-06-24T14:21:37.000Z","2020-04-10T15:59:00.000Z",
"ProHealth Pharmacy",1872,"(212) 684-8300","http://prohealthny.com/","20th-29th Streets","Pharmacy",40.737645,-73.981792,"385 2nd Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T17:33:00.000Z",
"Dreamland Deli",1873,,,"14th-19th Streets","Restaurant",40.735408,-73.983081,"325 2nd Avenue","Open","Deli",,"2020-06-24T14:21:37.000Z","2020-04-10T17:36:00.000Z",
"Gramercy Food Market",1874,"(212) 777-2808",,"20th-29th Streets","Restaurant",40.737218,-73.980897,"384 2nd Avenue","Open","Deli","
","2020-06-24T14:21:37.000Z","2020-04-10T17:38:00.000Z",
"Alpine Cleaners",1875,"(212) 533-2865",,"14th-19th Streets","Dry Cleaning",40.736017,-73.984787,"205 3rd Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T17:45:00.000Z",
"Carelabel",1876,"(212) 674-7030",,"14th-19th Streets","Dry Cleaning",40.736087,-73.985554,"212A 3rd Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T17:48:00.000Z",
"Warshaw Hardware",1877,"(212) 475-5820","https://www.warshawhardware.com/","20th-29th Streets","Hardware",40.737283,-73.984612,"248 3rd Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T17:51:00.000Z",
"Danny 2 Cleaners",1878,"(212) 777-3505",,"14th-19th Streets","Dry Cleaning",40.735046,-73.986313,"174 3rd Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T17:51:00.000Z",
"West Side Market",1879,"(212) 254-0017","https://www.wmarketnyc.com/180-third-avenue/","14th-19th Streets","Restaurant",40.735046,-73.986313,"180 3rd Avenue","Open","Grocery","
","2020-06-24T14:21:37.000Z","2020-04-10T17:56:00.000Z",
"Canis Minor",1880,"(212) 228-4848",,"14th-19th Streets","Pets",40.736836,-73.984947,"238 3rd Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T18:14:00.000Z",
"Chips Cleaners",1881,"(212) 473-3713",,"14th-19th Streets","Dry Cleaning",40.734316,-73.986057,"159 3rd Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T18:16:00.000Z",
"David's Pharmacy",1882,"(212) 477-7788",,"14th-19th Streets","Pharmacy",40.736017,-73.984787,"205 3rd Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T18:17:00.000Z",
"East Way Gourmet",1883,"(212) 260-3859",,"14th-19th Streets","Restaurant",40.734632,-73.985869,"169 3rd Avenue","Open","Grocery","
","2020-06-24T14:21:37.000Z","2020-04-10T18:18:00.000Z",
"Namu Deli & Grocery",1884,"(212) 228-9406",,"20th-29th Streets","Restaurant",40.737397,-73.98455,"252 3rd Avenue","Open","Deli","
","2020-06-24T14:21:37.000Z","2020-04-10T18:20:00.000Z",
"Prestige II Laundry",1885,"(646) 654-6913",,"14th-19th Streets","Laundry",40.734113,-73.981077,"351 East 18th Street","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T18:21:00.000Z",
"Kalvig & Shorter Veterinary Associates",1886,,"http://www.kalvigandshorter.com/","30th-39th Streets","Pets",40.74953,-73.976907,"133 East 39th Street","Open",,,"2020-06-24T14:21:37.000Z","2020-04-10T18:41:00.000Z",
"Pasteur Pharmacy",1887,"(212) 683-3838","https://pasteurshaving.com/","30th-39th Streets","Pharmacy",40.747616,-73.981929,"53 East 34th Street","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-10T18:42:00.000Z",
"Park Avenue Tavern",1888,"(212) 867-4484","https://parkavenuetavern.com/","30th-39th Streets","Restaurant",40.75036,-73.978439,"99 Park Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-11T17:00:00.000Z",
"Madison Restaurant",1889,"(212) 421-0948","https://www.madison1.com/","50th - 59th Streets","Restaurant",40.756084,-73.965118,"965 1st Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-04-16T01:00:00.000Z",
"Health Source",1890,"(212) 310-0111","http://www.healthsourcepharmacy.com/index.php","50th - 59th Streets","Pharmacy",40.756692,-73.963722,"1000 1st Avenue","Open",,"Mon-Fri 8:30-8, Sat 10-7, Sun 11-6. Pharmacy is open 9 to 6 weekdays now, and 10 to 2 on Saturdays.
","2020-06-24T14:21:37.000Z","2020-04-22T15:42:00.000Z","They have expanded their free delivery services, and in addition to prescription they are delivering groceries, over the counter medications, and various sundries that includes disinfectants.
"
"Amish Market",1891,"(212) 370-1761","http://eastamish.com/","40th-49th Streets","Restaurant",40.751823,-73.97147,"240 East 45th St.","Open","Grocery","
","2020-06-24T14:21:37.000Z","2020-04-23T00:18:00.000Z",
"Clairmont Nichols Opticians",1892,"(212) 758-2346","https://www.clairmontnichols.com/","50th - 59th Streets","Eye Care",40.7571,-73.963086,"1016 1st Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-04-24T13:43:00.000Z","Still providing telehealth consultations through phone calls and video-telephone for eye-related issues. People can also still order contact lenses at this time.
"
"Waterfront Ale House",1893,"(212) 696-4104","https://www.waterfrontalehouse.com/","20th-29th Streets","Restaurant",40.742047,-73.977508,"540 2nd Ave","Open","American/Irish","Open Noon-8:00pm daily, Pick up Orders Only
","2020-06-24T14:21:37.000Z","2020-04-24T23:32:00.000Z",
"Abumi Sushi",1894,"(212) 532-8783","https://www.abumisushi.com/","20th-29th Streets","Restaurant",40.740936,-73.980944,"209 E 26th Street","Open","Japanese","
","2020-06-24T14:21:37.000Z","2020-04-24T23:37:00.000Z",
"Health Nuts",1895,"(212) 490-2979","http://www.manhattanhealthfoodstore.com/contact/","40th-49th Streets","Restaurant",40.751505,-73.971379,"835 Second Avenue","Open","Grocery","
","2020-06-24T14:21:37.000Z","2020-04-30T00:01:00.000Z",
"Sutton Place Physical and Aquatic Therapy",1896,"(212) 317-1600","https://www.suttonplacept.com/","50th - 59th Streets","Physical Care",40.758186,-73.96416,"333 East 56th Street","Open","Physical Therapy","
","2020-06-24T14:21:37.000Z","2020-04-30T14:07:00.000Z","They are offering Physical Therapy appointments at their East 56th Street clinic and in your home via Virtual PT.
"
"Under the Bridge",1897,"(212) 583-0695","https://underthebridgeny.com/","50th - 59th Streets","Restaurant",40.759638,-73.962333,"1079 1st Avenue","Open","Greek","Food & Catering 11 am to 10:30 pm
","2020-06-24T14:21:37.000Z","2020-04-30T17:23:00.000Z",
"Patsy’s ",1898,"(212) 878-9600","http://www.patsyspizzeria.us/2nd-ave.html","40th-49th Streets","Restaurant",40.750417,-73.972133,"801 Second Av","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-05-01T22:37:00.000Z",
"Handcraft Kitchen & Cocktails",1899,"(212) 689-3000","https://www.handcraftnyc.com/","20th-29th Streets","Restaurant",40.740936,-73.980944,"367 3rd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-05-02T23:40:00.000Z",
"City Eats",1900,"(917)-675-6033","https://www.cityeatsnyc.com/","50th - 59th Streets","Restaurant",40.757415,-73.966329,"1026 2nd Ave","Open","American","
","2020-06-24T14:21:37.000Z","2020-05-07T18:08:00.000Z",
"Eastway Gourmet",1901,"(212) 260-3859",,"14th-19th Streets","Restaurant",40.734632,-73.985869,"169 3rd Ave","Open","Deli","
","2020-06-24T14:21:37.000Z","2020-05-07T19:24:00.000Z","Do NOT believe the Grubhub or Delivery.com web pages for them.  They are OPEN.  Ask for Mike or Raphie.  Good people. 
"
"The Shadmoor",1902,"(212) 385-9195","https://www.shadmoornyc.com/","50th - 59th Streets","Restaurant",40.758614,-73.965448,"1066 2nd Avenue","Open","Seafood","
","2020-06-24T14:21:37.000Z","2020-05-08T18:49:00.000Z",
"Caremount Medical P.C.",1903,"(212) 726-7400","https://www.caremountmedical.com/","30th-39th Streets","Medical",40.744632,-73.974831,"317 East 34th Street","Open",,"
","2020-06-24T14:21:37.000Z","2020-05-13T16:06:00.000Z","They offer telehealth and in-person visits (by appointment). They offer COVID-19 tests, both diagnostic and antibody.
"
"Galleria on Third",1904,"212-683-2886 or 212-683-4280","https://www.galleriaonthird.com/","30th-39th Streets","Art",40.746404,-73.97722,"529 3rd Avenue","Open",,"
","2020-06-24T14:21:37.000Z","2020-05-13T16:11:00.000Z","Custom framing, artworks, gifts, gift cards. Call for appointment or make appointment online, galleriaonthird.com.
"
"Tournesol Wellness",1905,"(646) 395-1114","https://www.tournesolwellness.com/","30th-39th Streets","Medical",40.748791,-73.981838,"26 East 36th Street","Open",,"
","2020-06-24T14:21:37.000Z","2020-05-13T16:13:00.000Z","Tournesol is offering online sessions (at discounted prices), make an appointment at [tournesolwellness.com/request-an-appointment][1].

  [1]: http://tournesolwellness.com/request-an-appointment
"
"Coppola's East",1906,"(212) 679-0070","coppolas-nyc.com","20th-29th Streets","Restaurant",40.741655,-73.981538,"378 3rd Avenue","Open","Italian","
","2020-06-24T14:21:37.000Z","2020-05-13T16:16:00.000Z",
"Galata Mediterranean Cuisine",1907,"(212) 683-9206","galatany.com","30th-39th Streets","Restaurant",40.745227,-73.977584,"212 East 34th Street","Open","Turkish","
","2020-06-24T14:21:37.000Z","2020-05-13T16:17:00.000Z","Store is closed for pickup but open for deliveries.
"
"Great Sichuan",1908,"(212) 686-8866","https://greatsichuannyc.net/","20th-29th Streets","Restaurant",40.740814,-73.981274,"363 3rd Avenue","Open","Chinese","
","2020-06-24T14:21:37.000Z","2020-05-13T16:24:00.000Z",
"Kajitsu",1909,"(212) 228-4873","http://kajitsunyc.com/","30th-39th Streets","Restaurant",40.749895,-73.97769,"125 East 39th Street","Open","Japanese","
","2020-06-24T14:21:37.000Z","2020-05-13T16:27:00.000Z","Open for delivery through Caviar [trycaviar.com/m/kajitsu-21137][1] as well as pickup at the restaurant.

  [1]: http://trycaviar.com/m/kajitsu-21137
"
"Previti Pizza and Pasta",1910,"(212) 867-2782","http://previtipastapizza.com/","30th-39th Streets","Restaurant",40.749692,-73.97703,"341 Lexington Ave","Open","Pizza","
","2020-06-24T14:21:37.000Z","2020-05-13T16:33:00.000Z",
"Chelsea Bagel",1911,"(212) 462-2435","https://www.chelseabagel.com/","40th-49th Streets","Restaurant",40.750062,-73.971658,"800 Second Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-05-13T16:40:00.000Z","just reopened today
"
"Olympia Deli",1912,"(212) 462-2435","http://places.singleplatform.com/cafe-olympia/menu","40th-49th Streets","Restaurant",40.751505,-73.971379,"833 2nd Avenue","Open","American","
","2020-06-24T14:21:37.000Z","2020-05-13T16:45:00.000Z","Very large and well stocked Deli, open 24 hours. Was closed since mid-March and just reopened today.  
"
"Ratatouille",1913,"(212) 922-0505","ratatouillenyc.com","30th-39th Streets","Restaurant",40.748933,-73.97636,"154 East 39th Street","Open","French","
","2020-06-24T14:21:37.000Z","2020-05-13T16:59:00.000Z",
